D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.783951461,0.75,1.4,1.2,0.666666667,0.333333333,0.595736762
0.788415575,1,1.4,1.2,0.666666667,0.333333333,0.607894655
0.782568365,1.25,1.4,1.2,0.666666667,0.333333333,0.595736762
0.782211934,1.5,1.4,1.2,0.666666667,0.333333333,0.595736762
0.783216012,0.5,0.6,1.4,0.666666667,0.333333333,0.595736762
0.787323444,0.75,0.6,1.4,0.666666667,0.333333333,0.607894655
0.783795081,1,0.6,1.4,0.666666667,0.333333333,0.607894655
0.782373865,1.25,0.6,1.4,0.666666667,0.333333333,0.595736762
0.783607984,1.5,0.6,1.4,0.666666667,0.333333333,0.607894655
0.784620702,0.5,0.8,1.4,0.666666667,0.333333333,0.595736762
0.783420672,0.75,0.8,1.4,0.666666667,0.333333333,0.595736762
0.787139767,1,0.8,1.4,0.666666667,0.333333333,0.607894655
0.784056849,1.25,0.8,1.4,0.666666667,0.333333333,0.595736762
0.782313763,1.5,0.8,1.4,0.666666667,0.333333333,0.595736762
0.788285629,0.5,1,1.4,0.666666667,0.333333333,0.607894655
0.785209571,0.75,1,1.4,0.666666667,0.333333333,0.607894655
0.783544828,1,1,1.4,0.666666667,0.333333333,0.595736762
0.783748978,1.25,1,1.4,0.666666667,0.333333333,0.595736762
0.783761281,1.5,1,1.4,0.666666667,0.333333333,0.595736762
0.783152445,0.5,1.2,1.4,0.666666667,0.333333333,0.595736762
0.788556312,0.75,1.2,1.4,0.666666667,0.333333333,0.607894655
0.784093473,1,1.2,1.4,0.666666667,0.333333333,0.607894655
0.788151053,1.25,1.2,1.4,0.666666667,0.333333333,0.607894655
0.784728544,1.5,1.2,1.4,0.666666667,0.333333333,0.607894655
0.784171772,0.5,1.4,1.4,0.666666667,0.333333333,0.607894655
0.782150063,0.75,1.4,1.4,0.666666667,0.333333333,0.595736762
0.782201121,1,1.4,1.4,0.666666667,0.333333333,0.595736762
0.785925836,1.25,1.4,1.4,0.666666667,0.333333333,0.607894655
0.791824313,1.5,1.4,1.4,0.666666667,0.333333333,0.607894655
0.875750458,0.5,0.6,0.6,1,0.333333333,0.778105158
0.87458884,0.75,0.6,0.6,1,0.333333333,0.778105158
0.874616669,1,0.6,0.6,1,0.333333333,0.778105158
0.872979725,1.25,0.6,0.6,1,0.333333333,0.778105158
0.875554361,1.5,0.6,0.6,1,0.333333333,0.778105158
0.876973334,0.5,0.8,0.6,1,0.333333333,0.778105158
0.872677782,0.75,0.8,0.6,1,0.333333333,0.778105158
0.873305734,1,0.8,0.6,1,0.333333333,0.778105158
0.873697607,1.25,0.8,0.6,1,0.333333333,0.778105158
0.873870385,1.5,0.8,0.6,1,0.333333333,0.778105158
0.875369339,0.5,1,0.6,1,0.333333333,0.778105158
0.874309369,0.75,1,0.6,1,0.333333333,0.778105158
0.873639625,1,1,0.6,1,0.333333333,0.778105158
0.873207462,1.25,1,0.6,1,0.333333333,0.778105158
0.873074279,1.5,1,0.6,1,0.333333333,0.778105158
0.87312548,0.5,1.2,0.6,1,0.333333333,0.778105158
0.878115104,0.75,1.2,0.6,1,0.333333333,0.778105158
0.874905181,1,1.2,0.6,1,0.333333333,0.778105158
0.872986073,1.25,1.2,0.6,1,0.333333333,0.778105158
0.873369126,1.5,1.2,0.6,1,0.333333333,0.778105158
0.873029665,0.5,1.4,0.6,1,0.333333333,0.778105158
0.875310998,0.75,1.4,0.6,1,0.333333333,0.778105158
0.878351646,1,1.4,0.6,1,0.333333333,0.778105158
0.873856185,1.25,1.4,0.6,1,0.333333333,0.778105158
0.87328686,1.5,1.4,0.6,1,0.333333333,0.778105158
0.873328442,0.5,0.6,0.8,1,0.333333333,0.778105158
0.87306573,0.75,0.6,0.8,1,0.333333333,0.778105158
0.873688769,1,0.6,0.8,1,0.333333333,0.778105158
0.873756871,1.25,0.6,0.8,1,0.333333333,0.778105158
0.873166284,1.5,0.6,0.8,1,0.333333333,0.778105158
0.875335252,0.5,0.8,0.8,1,0.333333333,0.778105158
0.878652611,0.75,0.8,0.8,1,0.333333333,0.778105158
0.872982073,1,0.8,0.8,1,0.333333333,0.778105158
0.875725637,1.25,0.8,0.8,1,0.333333333,0.778105158
0.872533477,1.5,0.8,0.8,1,0.333333333,0.778105158
0.874552299,0.5,1,0.8,1,0.333333333,0.778105158
0.872987728,0.75,1,0.8,1,0.333333333,0.778105158
0.873374057,1,1,0.8,1,0.333333333,0.778105158
0.873911489,1.25,1,0.8,1,0.333333333,0.778105158
0.872740805,1.5,1,0.8,1,0.333333333,0.778105158
0.881935454,0.5,1.2,0.8,1,0.333333333,0.778105158
0.878209474,0.75,1.2,0.8,1,0.333333333,0.778105158
0.875571088,1,1.2,0.8,1,0.333333333,0.778105158
0.873580885,1.25,1.2,0.8,1,0.333333333,0.778105158
0.874754325,1.5,1.2,0.8,1,0.333333333,0.778105158
0.876568297,0.5,1.4,0.8,1,0.333333333,0.778105158
0.876403169,0.75,1.4,0.8,1,0.333333333,0.778105158
0.87755668,1,1.4,0.8,1,0.333333333,0.778105158
0.872970731,1.25,1.4,0.8,1,0.333333333,0.778105158
0.873753086,1.5,1.4,0.8,1,0.333333333,0.778105158
0.875771468,0.5,0.6,1,1,0.333333333,0.778105158
0.874431827,0.75,0.6,1,1,0.333333333,0.778105158
0.874260687,1,0.6,1,1,0.333333333,0.778105158
0.874367466,1.25,0.6,1,1,0.333333333,0.778105158
0.876344712,1.5,0.6,1,1,0.333333333,0.778105158
0.874713549,0.5,0.8,1,1,0.333333333,0.778105158
0.87348192,0.75,0.8,1,1,0.333333333,0.778105158
0.875943093,1,0.8,1,1,0.333333333,0.778105158
0.874092647,1.25,0.8,1,1,0.333333333,0.778105158
0.874193221,1.5,0.8,1,1,0.333333333,0.778105158
0.873817443,0.5,1,1,1,0.333333333,0.778105158
0.87271879,0.75,1,1,1,0.333333333,0.778105158
0.87528177,1,1,1,1,0.333333333,0.778105158
0.875182176,1.25,1,1,1,0.333333333,0.778105158
0.873500563,1.5,1,1,1,0.333333333,0.778105158
0.872568272,0.5,1.2,1,1,0.333333333,0.778105158
0.873949807,0.75,1.2,1,1,0.333333333,0.778105158
0.873229794,1,1.2,1,1,0.333333333,0.778105158
0.873285831,1.25,1.2,1,1,0.333333333,0.778105158
0.87564641,1.5,1.2,1,1,0.333333333,0.778105158
0.872650546,0.5,1.4,1,1,0.333333333,0.778105158
0.873007502,0.75,1.4,1,1,0.333333333,0.778105158
0.874477673,1,1.4,1,1,0.333333333,0.778105158
0.873666632,1.25,1.4,1,1,0.333333333,0.778105158
0.874500549,1.5,1.4,1,1,0.333333333,0.778105158
0.875386022,0.5,0.6,1.2,1,0.333333333,0.778105158
0.872638382,0.75,0.6,1.2,1,0.333333333,0.778105158
0.874721722,1,0.6,1.2,1,0.333333333,0.778105158
0.873759262,1.25,0.6,1.2,1,0.333333333,0.778105158
0.87562125,1.5,0.6,1.2,1,0.333333333,0.778105158
0.873834173,0.5,0.8,1.2,1,0.333333333,0.778105158
0.875637403,0.75,0.8,1.2,1,0.333333333,0.778105158
0.874130231,1,0.8,1.2,1,0.333333333,0.778105158
0.87383442,1.25,0.8,1.2,1,0.333333333,0.778105158
0.874021651,1.5,0.8,1.2,1,0.333333333,0.778105158
0.873347135,0.5,1,1.2,1,0.333333333,0.778105158
0.873819044,0.75,1,1.2,1,0.333333333,0.778105158
0.873664976,1,1,1.2,1,0.333333333,0.778105158
0.877182083,1.25,1,1.2,1,0.333333333,0.778105158
0.873659258,1.5,1,1.2,1,0.333333333,0.778105158
0.873624642,0.5,1.2,1.2,1,0.333333333,0.778105158
0.873342372,0.75,1.2,1.2,1,0.333333333,0.778105158
0.874021455,1,1.2,1.2,1,0.333333333,0.778105158
0.874713248,1.25,1.2,1.2,1,0.333333333,0.778105158
0.874960402,1.5,1.2,1.2,1,0.333333333,0.778105158
0.875024243,0.5,1.4,1.2,1,0.333333333,0.778105158
0.875775808,0.75,1.4,1.2,1,0.333333333,0.778105158
0.872855072,1,1.4,1.2,1,0.333333333,0.778105158
0.87345293,1.25,1.4,1.2,1,0.333333333,0.778105158
0.874015078,1.5,1.4,1.2,1,0.333333333,0.778105158
0.872916338,0.5,0.6,1.4,1,0.333333333,0.778105158
0.873800446,0.75,0.6,1.4,1,0.333333333,0.778105158
0.873082055,1,0.6,1.4,1,0.333333333,0.778105158
0.877040251,1.25,0.6,1.4,1,0.333333333,0.778105158
0.875447047,1.5,0.6,1.4,1,0.333333333,0.778105158
0.873810099,0.5,0.8,1.4,1,0.333333333,0.778105158
0.872720157,0.75,0.8,1.4,1,0.333333333,0.778105158
0.873258458,1,0.8,1.4,1,0.333333333,0.778105158
0.873483936,1.25,0.8,1.4,1,0.333333333,0.778105158
0.873919426,1.5,0.8,1.4,1,0.333333333,0.778105158
0.872563966,0.5,1,1.4,1,0.333333333,0.778105158
0.873336637,0.75,1,1.4,1,0.333333333,0.778105158
0.873859816,1,1,1.4,1,0.333333333,0.778105158
0.881094478,1.25,1,1.4,1,0.333333333,0.778105158
0.872831149,1.5,1,1.4,1,0.333333333,0.778105158
