D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.542304676,100,1750,4000,300000000,1000000,2412.743158
0.539470692,125,1750,4000,300000000,1000000,2412.743158
0.539954165,150,1750,4000,300000000,1000000,2412.743158
0.541201467,50,750,5000,300000000,1000000,2412.743158
0.540373607,75,750,5000,300000000,1000000,2412.743158
0.540267847,100,750,5000,300000000,1000000,2412.743158
0.540333834,125,750,5000,300000000,1000000,2412.743158
0.541555715,150,750,5000,300000000,1000000,2412.743158
0.540547703,50,1000,5000,300000000,1000000,2412.743158
0.539786592,75,1000,5000,300000000,1000000,2412.743158
0.541307526,100,1000,5000,300000000,1000000,2412.743158
0.540164004,125,1000,5000,300000000,1000000,2412.743158
0.540226155,150,1000,5000,300000000,1000000,2412.743158
0.539993935,50,1250,5000,300000000,1000000,2412.743158
0.539315,75,1250,5000,300000000,1000000,2412.743158
0.540898847,100,1250,5000,300000000,1000000,2412.743158
0.540837301,125,1250,5000,300000000,1000000,2412.743158
0.539798113,150,1250,5000,300000000,1000000,2412.743158
0.539221984,50,1500,5000,300000000,1000000,2412.743158
0.540075733,75,1500,5000,300000000,1000000,2412.743158
0.539630786,100,1500,5000,300000000,1000000,2412.743158
0.539665414,125,1500,5000,300000000,1000000,2412.743158
0.541124184,150,1500,5000,300000000,1000000,2412.743158
0.539272827,50,1750,5000,300000000,1000000,2412.743158
0.539493415,75,1750,5000,300000000,1000000,2412.743158
0.540401939,100,1750,5000,300000000,1000000,2412.743158
0.539900739,125,1750,5000,300000000,1000000,2412.743158
0.540416076,150,1750,5000,300000000,1000000,2412.743158
0.540963272,50,750,6000,300000000,1000000,2412.743158
0.53926531,75,750,6000,300000000,1000000,2412.743158
0.540552754,100,750,6000,300000000,1000000,2412.743158
0.539957982,125,750,6000,300000000,1000000,2412.743158
0.541108636,150,750,6000,300000000,1000000,2412.743158
0.540004274,50,1000,6000,300000000,1000000,2412.743158
0.541118618,75,1000,6000,300000000,1000000,2412.743158
0.540187229,100,1000,6000,300000000,1000000,2412.743158
0.540004427,125,1000,6000,300000000,1000000,2412.743158
0.54012013,150,1000,6000,300000000,1000000,2412.743158
0.539703299,50,1250,6000,300000000,1000000,2412.743158
0.539994925,75,1250,6000,300000000,1000000,2412.743158
0.539899715,100,1250,6000,300000000,1000000,2412.743158
0.542073186,125,1250,6000,300000000,1000000,2412.743158
0.539896182,150,1250,6000,300000000,1000000,2412.743158
0.53987479,50,1500,6000,300000000,1000000,2412.743158
0.539700355,75,1500,6000,300000000,1000000,2412.743158
0.540120009,100,1500,6000,300000000,1000000,2412.743158
0.540547517,125,1500,6000,300000000,1000000,2412.743158
0.540700251,150,1500,6000,300000000,1000000,2412.743158
0.540739703,50,1750,6000,300000000,1000000,2412.743158
0.541204149,75,1750,6000,300000000,1000000,2412.743158
0.539399218,100,1750,6000,300000000,1000000,2412.743158
0.539768677,125,1750,6000,300000000,1000000,2412.743158
0.540116068,150,1750,6000,300000000,1000000,2412.743158
0.539437079,50,750,7000,300000000,1000000,2412.743158
0.539983432,75,750,7000,300000000,1000000,2412.743158
0.539539487,100,750,7000,300000000,1000000,2412.743158
0.541985538,125,750,7000,300000000,1000000,2412.743158
0.541000983,150,750,7000,300000000,1000000,2412.743158
0.539989397,50,1000,7000,300000000,1000000,2412.743158
0.539315844,75,1000,7000,300000000,1000000,2412.743158
0.539648499,100,1000,7000,300000000,1000000,2412.743158
0.539787838,125,1000,7000,300000000,1000000,2412.743158
0.540056958,150,1000,7000,300000000,1000000,2412.743158
0.539219323,50,1250,7000,300000000,1000000,2412.743158
0.539696811,75,1250,7000,300000000,1000000,2412.743158
0.540020121,100,1250,7000,300000000,1000000,2412.743158
0.544490933,125,1250,7000,300000000,1000000,2412.743158
0.539384434,150,1250,7000,300000000,1000000,2412.743158
0.539778566,50,1500,7000,300000000,1000000,2412.743158
0.539489368,75,1500,7000,300000000,1000000,2412.743158
0.539728672,100,1500,7000,300000000,1000000,2412.743158
0.540256102,125,1500,7000,300000000,1000000,2412.743158
